ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,ruwe,teff_gspphot,phot_variable_flag,distance_pc,abs_mag,phase,cluster
275.86252441394157,71.58175981889626,10.967317984068131,0.013096148,11.136648,11.656573,10.460255,1.1963186,-24.816994,0.95790994,4726.0034,VARIABLE,91.17999509567132,6.337150177467986,Main Sequence,2
318.19862452922325,70.5422083708649,13.871693521726618,0.011161348,13.022152,14.190215,11.947785,2.2424297,-47.40444,1.1127949,3680.9844,VARIABLE,72.08925128238627,8.732799425136848,Main Sequence,0
283.3130406262561,75.17848969011756,13.347969644972572,0.010597658,11.3446665,11.975629,10.5838995,1.3917294,-15.648156,0.86708534,4498.827,NOT_AVAILABLE,74.91776102267686,6.971742551707342,Main Sequence,2
274.78350142991945,71.51802279055177,18.923784450486263,0.018924946,6.5836883,6.7945976,6.2197194,0.5748782,-43.617508,0.9173535,6516.164,NOT_AVAILABLE,52.84355265282596,2.9687282630796563,Main Sequence,3
312.1071039172599,68.03337589014181,12.743672636431963,0.013353552,6.8932137,7.0776978,6.560743,0.5169549,-2.769153,0.81258696,6709.5303,NOT_AVAILABLE,78.47031452622005,2.419686733199038,Main Sequence,3
311.93163546194876,68.06660085411018,13.678573925365736,0.014231794,14.181912,15.361278,13.106451,2.2548265,20.037432,1.0822468,3373.876,NOT_AVAILABLE,73.10703626388904,9.862116109497933,Main Sequence,4
273.965541910505,72.18826400333296,10.81099856389561,0.018952183,14.79047,16.286335,13.596983,2.689352,-18.31919,1.1159769,3393.622,NOT_AVAILABLE,92.49839356556738,9.95979904828688,Other,4
313.7287683549389,67.58605837606714,35.009988501242496,0.015709672,11.172559,12.3100605,10.111014,2.1990461,-13.082595,1.0224628,3502.8145,NOT_AVAILABLE,28.563277019200115,8.893518840622114,Main Sequence,0
276.04444305805174,72.16804730214686,11.515772368742647,0.010967361,11.810795,12.496,11.013785,1.4822149,-8.009012,1.0734781,4498.173,VARIABLE,86.8374233164167,7.117260358150734,Main Sequence,2
292.704877976028,70.65190778857034,13.68648596500678,0.0140157845,14.057887,15.243157,12.9776325,2.2655249,-26.022833,1.1241301,3557.5562,NOT_AVAILABLE,73.06477371596857,9.739346781974518,Main Sequence,4
264.6679401027179,-59.33847889950597,12.98016514618376,0.016601441,12.11451,12.911461,11.237911,1.6735497,9.497289,1.3253751,4276.784,NOT_AVAILABLE,77.0406222677379,7.680911090064452,Main Sequence,2
293.7071899905159,73.41550637772964,11.696278583179964,0.011529547,11.223354,11.794095,10.510602,1.283493,-32.197884,0.91368973,4766.217,VARIABLE,85.49727957386953,6.563592519040608,Main Sequence,2
275.8221922002758,72.70089492540686,14.69776390697987,0.013041965,13.321909,14.407656,12.282856,2.1247997,16.216908,1.2121009,3693.983,NOT_AVAILABLE,68.03756042952267,9.15816533471761,Main Sequence,0
274.9008316802583,72.48922468737977,13.968618464645196,0.014931813,13.6635275,14.887505,12.56434,2.323165,-40.64504,1.3195754,3574.8628,NOT_AVAILABLE,71.58904100151469,9.389294776508397,Main Sequence,0
273.94967158285147,72.6032780104628,10.844853432673768,0.015419958,14.025388,15.200397,12.950635,2.2497616,28.904232,1.2001733,3689.2952,NOT_AVAILABLE,92.20963715260216,9.201506434673538,Main Sequence,0
293.46506845753794,74.09970534112992,12.404080034225018,0.012065057,9.590854,9.916266,9.094684,0.8215828,-55.441624,0.9923425,5852.4253,NOT_AVAILABLE,80.61863493631336,5.058676798754433,Main Sequence,1
271.13412747565246,72.4193685097609,10.490754857331494,0.013667727,11.129493,11.57401,10.307655,1.2663546,-20.778917,0.9270214,4661.165,NOT_AVAILABLE,95.32202530699182,6.233526693865297,Main Sequence,2
277.01001669495685,74.5565579365662,12.905821034363552,0.013636339,13.947754,15.259139,12.815133,2.444006,-2.896349,1.19079,3512.0955,NOT_AVAILABLE,77.48441554685752,9.501682192152735,Main Sequence,4
294.474236748063,71.54307306903134,19.768218136442385,0.010913135,8.976486,9.4000435,8.389169,1.0108747,-18.073376,0.8069036,5172.401,NOT_AVAILABLE,50.58624875028652,5.456323623658333,Main Sequence,1
294.26773032414,71.5711320623048,11.68038141398297,0.009718796,9.824303,10.188868,9.2911825,0.89768505,6.6521974,0.92985594,5480.017,NOT_AVAILABLE,85.61364261640182,5.16158812282179,Main Sequence,1
271.5754743762674,72.82224514426346,30.644745898978247,0.011953491,10.629256,11.557706,9.682137,1.8755693,-9.764167,1.0491014,4001.3713,NOT_AVAILABLE,32.63202127035231,8.06103612303534,Main Sequence,0
270.43216508732144,72.74497885111597,10.444679768606164,0.016208224,14.441911,15.7619095,13.310177,2.4517326,-73.50756,1.0726734,3543.244,NOT_AVAILABLE,95.74252367274345,9.536386645775387,Main Sequence,4
288.5547648141032,73.73862731061962,10.257858212458832,0.022492986,14.97085,16.410786,13.795757,2.6150284,-12.832063,1.1186621,3411.8315,NOT_AVAILABLE,97.48623731077072,10.02613345903944,Other,4
288.3686161013857,73.76399692262649,14.03138227054708,0.0119915735,12.70558,13.736892,11.6965065,2.0403852,-38.017033,1.1614757,3886.668,VARIABLE,71.26881590982484,8.441082283474264,Main Sequence,0
